WKT	type	lat	lon	osm_id	osm_way_id	amenity	name	name:fr	name:en	health_facility:type	healthcare	id:uuid	is_in:health_area	 is_in:health_zone	building:levels	building:material	building:condition	addr:housenumber	 addr:street	 addr:city	source	source:data	source:date	source:name	source_ref	survey:date	 note	 attribution	other_tags
"MULTIPOLYGON (((19.2387204 -5.1376123,19.23915 -5.1369704,19.2398132 -5.1373471,19.2394816 -5.1380402,19.2387204 -5.1376123)))"	multipolygons	-5.1374797	19.2392794522202		"435628806"	school																							
"MULTIPOLYGON (((19.1505226 -5.2861904,19.1511824 -5.2864521,19.1513478 -5.2859621,19.1514617 -5.2860323,19.1518529 -5.2854025,19.1513672 -5.2851685,19.151052 -5.2857798,19.1508742 -5.2856702,19.1505226 -5.2861904)))"	multipolygons	-5.28587095	19.1511502183928		"435628815"	school																							
"MULTIPOLYGON (((19.5253665 -6.0989693,19.5260111 -6.0989899,19.5259521 -6.099934,19.5250519 -6.0999077,19.5253665 -6.0989693)))"	multipolygons	-6.0994488	19.5255940843488		"435645336"	school																							
"MULTIPOLYGON (((15.3504899 -4.4658503,15.3505328 -4.4658049,15.350624 -4.4658904,15.350581 -4.4659359,15.3504899 -4.4658503)))"	multipolygons	-4.46587035	15.3505569257963		"435676466"	school	Ecole Primaire Kiboto									brick	poor	"33"											"""addr:city""=>""Kinshasa"",""addr:street""=>""Mzee Laurent Désiré Kabila"",""building""=>""yes"",""is_in:admin_level7""=>""Mont Ngafula"",""is_in:admin_level8""=>""N'djili Kilambo"""
"MULTIPOLYGON (((15.3498992 -4.4689891,15.3499796 -4.4689901,15.3499763 -4.4692532,15.3500047 -4.4692535,15.3500038 -4.469321,15.3501429 -4.4693227,15.3501417 -4.4694193,15.3500012 -4.4694176,15.3500017 -4.4693732,15.349915 -4.4693722,15.3499164 -4.4692614,15.3498958 -4.4692611,15.3498992 -4.4689891)))"	multipolygons	-4.46912165	15.3499377465625		"435937353"	school	"Société des Missions Africaines; Collège MonSeigneur Bresillac (Internat-filles)"									brick	average												"""addr:city""=>""Kinshasa"",""addr:street""=>""Mavuna"",""building""=>""yes"",""is_in:admin_level7""=>""Mont Ngafula"",""is_in:admin_level8""=>""N'djili Kilambo"""
"MULTIPOLYGON (((28.7972689 -2.3126845,28.7976209 -2.3120585,28.79827 -2.312423,28.797918 -2.3130489,28.7972689 -2.3126845)))"	multipolygons	-2.31255375	28.7977694441268		"438350972"	school																							
"MULTIPOLYGON (((19.0421189 -5.0192921,19.04196 -5.0200999,19.0426686 -5.0202718,19.0429271 -5.0191924,19.0426563 -5.0191976,19.0423913 -5.0191976,19.0421189 -5.0192921)))"	multipolygons	-5.019696	19.0424229727024		"438449517"	school																							
"MULTIPOLYGON (((19.0445804 -5.0226788,19.044737 -5.0231303,19.0454607 -5.0228812,19.0453041 -5.0224297,19.0445804 -5.0226788)))"	multipolygons	-5.02278	19.04502055		"438449518"	school																							
"MULTIPOLYGON (((15.373506 -4.4055583,15.3735597 -4.4049994,15.3740961 -4.4050916,15.3740465 -4.4052989,15.3742852 -4.4053591,15.3742718 -4.4057081,15.373506 -4.4055583)))"	multipolygons	-4.405329	15.3738469407542		"441722162"	school	Lycée Bomengo																						
"MULTIPOLYGON (((19.0505427 -5.6647322,19.0503672 -5.665665,19.0509573 -5.6658164,19.0511891 -5.664894,19.0505427 -5.6647322)))"	multipolygons	-5.6652795	19.0507659763477		"442766598"	school																							
"MULTIPOLYGON (((19.0507459 -5.6627822,19.0506727 -5.6636844,19.0517514 -5.6638538,19.0519096 -5.6628767,19.0507459 -5.6627822)))"	multipolygons	-5.66328055	19.051274839976		"442766599"	school																							
"MULTIPOLYGON (((19.04668 -5.5169478,19.0473312 -5.5169216,19.047299 -5.5179094,19.0466827 -5.5179356,19.0466773 -5.5175058,19.04668 -5.5169478)))"	multipolygons	-5.5172268	19.0469999505922		"444877834"	school																							
"MULTIPOLYGON (((15.293705 -4.3559645,15.29374 -4.3558527,15.2942765 -4.3560198,15.2942414 -4.3561317,15.293705 -4.3559645)))"	multipolygons	-4.35599215	15.2939907151841		"450071724"	school	Collège Abbé Loya																						"""building""=>""yes"""
"MULTIPOLYGON (((19.5330918 -5.5756428,19.5323667 -5.575541,19.5323438 -5.5756992,19.5323224 -5.575839,19.532275 -5.5761874,19.5339643 -5.5764246,19.5340737 -5.5756528,19.534129 -5.5752629,19.5341551 -5.575079,19.5331909 -5.5749436,19.5330918 -5.5756428)))"	multipolygons	-5.575676	19.5332087848802		"457639873"	school																							
"MULTIPOLYGON (((17.3300965 -6.4369497,17.3302409 -6.4362531,17.3296968 -6.4361203,17.3295259 -6.4368116,17.3300965 -6.4369497)))"	multipolygons	-6.43653235	17.3298889742248		"465682225"	school																							
"MULTIPOLYGON (((17.3307248 -6.4346976,17.330615 -6.435215,17.3311123 -6.4353193,17.3312221 -6.4348019,17.3307248 -6.4346976)))"	multipolygons	-6.43500845	17.33091855		"465682226"	school																							
"MULTIPOLYGON (((15.3117738 -4.4168722,15.3117843 -4.4169673,15.3120495 -4.4169381,15.3120952 -4.4173513,15.3126163 -4.417294,15.3126052 -4.4171937,15.3125298 -4.417202,15.3124334 -4.4163308,15.3119304 -4.4163861,15.3119413 -4.4164847,15.3123412 -4.4164407,15.3124269 -4.4172154,15.3121875 -4.4172418,15.3121532 -4.4169319,15.3122026 -4.4169265,15.312201 -4.4169118,15.312234 -4.4169081,15.3122246 -4.4168226,15.3117738 -4.4168722)))"	multipolygons	-4.4168474	15.3121132632749		"466944954"	school	Groupe Scolaire Mont-Amba (Primaire)																						"""building""=>""yes"""
"MULTIPOLYGON (((15.3134276 -4.4181634,15.3134593 -4.4183196,15.3141089 -4.4182036,15.3140831 -4.4180459,15.3134276 -4.4181634)))"	multipolygons	-4.4181835	15.3137686453988		"466944960"	school	Groupe Scolaire Mont-Amba (Primaire)																						"""building""=>""yes"""
"MULTIPOLYGON (((15.3130229 -4.4173311,15.3132261 -4.4172938,15.3138615 -4.4171774,15.3138679 -4.4172122,15.314074 -4.4171744,15.3140866 -4.4172427,15.313255 -4.417395,15.3131384 -4.4174164,15.3131681 -4.4175775,15.3138653 -4.4174497,15.3138585 -4.4174127,15.3141112 -4.4173664,15.3141292 -4.417464,15.3138792 -4.4175098,15.3138853 -4.417543,15.3130889 -4.4176889,15.3130229 -4.4173311)))"	multipolygons	-4.41743305	15.3139928660041		"466944961"	school	Groupe Scolaire Mont-Amba (Secondaire + Humanité)								"1"														"""addr:city""=>""Kinshasa"",""building""=>""yes"",""is_in:admin_level7""=>""Lemba"""
"MULTIPOLYGON (((15.3131377 -4.4171371,15.3132459 -4.4172224,15.3134868 -4.4169185,15.313496 -4.416907,15.3137093 -4.4166379,15.3136185 -4.4165664,15.3134046 -4.4168362,15.3133872 -4.4168225,15.3131377 -4.4171371)))"	multipolygons	-4.4168716	15.3134361598835		"466944962"	school	Direction Groupe Scolaire du Mont Amba																						"""building""=>""yes"",""office""=>""educational_institution"""
"MULTIPOLYGON (((15.3139476 -4.4168153,15.3140775 -4.4168316,15.3140706 -4.4168865,15.3140887 -4.4168888,15.314064 -4.4170845,15.3140874 -4.4170875,15.3140799 -4.4171462,15.3138732 -4.4171203,15.313881 -4.4170582,15.3138935 -4.4170598,15.313917 -4.4168731,15.3139399 -4.4168759,15.3139476 -4.4168153)))"	multipolygons	-4.4169735	15.3139911861613		"466944963"	school	Groupe Scolaire Mont-Amba																						"""building""=>""yes"",""sport""=>""gymnastics"""
"MULTIPOLYGON (((15.3693943 -4.378066,15.3694109 -4.3780101,15.3695692 -4.3780569,15.3695526 -4.3781128,15.3693943 -4.378066)))"	multipolygons	-4.37806145	15.36948175		"470504349"	kindergarten	Ecole maternelle																						"""building""=>""yes"""
"MULTIPOLYGON (((15.368074 -4.3797689,15.3680863 -4.3796805,15.3684609 -4.3797323,15.3684486 -4.3798207,15.368074 -4.3797689)))"	multipolygons	-4.3797506	15.36826745		"470526432"	school																							"""building""=>""yes"""
"MULTIPOLYGON (((15.368058 -4.3795271,15.3680682 -4.3794522,15.3684825 -4.3795081,15.3684723 -4.379583,15.368058 -4.3795271)))"	multipolygons	-4.3795176	15.36827025		"470526434"	school																							"""building""=>""yes"""
"MULTIPOLYGON (((15.367638 -4.379456,15.3676483 -4.3793788,15.3680305 -4.3794296,15.3680202 -4.3795069,15.367638 -4.379456)))"	multipolygons	-4.3794428	15.3678342511392		"470526435"	school																							"""building""=>""yes"""
"MULTIPOLYGON (((15.3680577 -4.3792942,15.3680675 -4.3792133,15.3685127 -4.3792668,15.3685029 -4.3793477,15.3680577 -4.3792942)))"	multipolygons	-4.3792805	15.3682852		"470526436"	school																							"""building""=>""yes"""
"MULTIPOLYGON (((15.3676514 -4.3791498,15.3680443 -4.3792033,15.3680326 -4.3792887,15.3676397 -4.3792352,15.3676514 -4.3791498)))"	multipolygons	-4.37921925	15.367842		"470526437"	school																							"""building""=>""yes"""
"MULTIPOLYGON (((29.1064629 -3.9513932,29.1062612 -3.9506863,29.1061979 -3.9506652,29.1062343 -3.9505637,29.1063477 -3.9505905,29.1063342 -3.9505004,29.106509 -3.9504774,29.1065263 -3.9505713,29.1069199 -3.9504889,29.1068969 -3.9507035,29.1069199 -3.95083,29.1069487 -3.9509257,29.1069795 -3.951056,29.1069852 -3.9511461,29.1070006 -3.9513281,29.1064629 -3.9513932)))"	multipolygons	-3.95099085	29.1066560986738		"474397149"	school																							
"MULTIPOLYGON (((25.5037863 -10.7137362,25.5049633 -10.7129672,25.5050496 -10.7129551,25.5051235 -10.713052,25.5050927 -10.7131277,25.5051851 -10.71317,25.5054871 -10.7136181,25.5054902 -10.7137422,25.5055672 -10.7137452,25.5065377 -10.7152226,25.5065192 -10.7153285,25.5063344 -10.7154527,25.5062697 -10.7154224,25.5062419 -10.7155132,25.5057859 -10.7158099,25.5056689 -10.7158159,25.5056719 -10.7158704,25.5054193 -10.7160309,25.5037863 -10.7137362)))"	multipolygons	-10.7144839	25.5051854215638		"475084462"	school	Institut Ukweli																						
"MULTIPOLYGON (((15.3139998 -4.3892707,15.314445 -4.3893816,15.3144236 -4.3894672,15.3139783 -4.3893562,15.3139998 -4.3892707)))"	multipolygons	-4.3893689	15.3142116327553		"476664289"	school	Ecole armée du Salut																						"""building""=>""yes"""
"MULTIPOLYGON (((15.3068257 -4.4105215,15.3068162 -4.4104707,15.3069536 -4.4104452,15.3069633 -4.4104973,15.307057 -4.4104799,15.3070584 -4.4104875,15.3070705 -4.4104853,15.3070976 -4.4106305,15.3070812 -4.4106335,15.3070834 -4.4106451,15.3069994 -4.4106607,15.307013 -4.4107334,15.3068756 -4.4107589,15.3068621 -4.4106867,15.3067503 -4.4107075,15.3067193 -4.4105413,15.3068257 -4.4105215)))"	multipolygons	-4.4105859	15.3069084473941		"476917120"	university	"Université de Kinshasa, faculté des sciences agronomiques option des eaux et forêts"																						"""building""=>""yes"""
"MULTIPOLYGON (((15.3068287 -4.4102394,15.3069943 -4.4102104,15.3069565 -4.4099961,15.3070604 -4.4099779,15.3071304 -4.4103748,15.3070282 -4.4103927,15.3070275 -4.4103892,15.3069577 -4.4104014,15.3069632 -4.4104329,15.3068259 -4.410457,15.3068193 -4.4104196,15.3067229 -4.4104365,15.3067294 -4.4104736,15.3066917 -4.4104803,15.3066988 -4.4105205,15.3066175 -4.4105348,15.3066009 -4.4104406,15.306641 -4.4104335,15.3066385 -4.4104195,15.3066348 -4.4103983,15.306589 -4.4104063,15.3065974 -4.4104542,15.306517 -4.4104682,15.3065098 -4.410427,15.3064631 -4.4104352,15.3064733 -4.4104931,15.3062873 -4.4105257,15.3062869 -4.4105231,15.3060776 -4.4105598,15.3060493 -4.4103995,15.3062624 -4.4103621,15.3062575 -4.4103345,15.3064422 -4.4103022,15.3064574 -4.4103885,15.3065023 -4.4103806,15.306496 -4.4103446,15.3065141 -4.4103415,15.3064997 -4.4102593,15.306409 -4.4102752,15.3063638 -4.4100189,15.3065697 -4.4099828,15.3066145 -4.4102367,15.3065462 -4.4102487,15.3065612 -4.4103338,15.3065765 -4.4103311,15.3065828 -4.4103669,15.3066259 -4.4103593,15.3066084 -4.4102605,15.3068257 -4.4102224,15.3068287 -4.4102394)))"	multipolygons	-4.41026785	15.3068606197193		"476917121"	university	Ecole régionale d’aménagement intégré des forêts et territoires tropicaux																						"""alt_name""=>""ERAIFT"",""building""=>""yes"",""operator""=>""Université de Kinshasa, Unesco mab, CARPE, CTB, etc."""
