WKT	type	osm_id	lat	lon	place	abandoned:place	name	marker-color	marker-size
"POINT (15.4037431 -4.4228649)"	points	"291600829"	-4.4228649	15.4037431	locality		Malonda	gray	"6"
"POINT (15.4088844 -4.4134405)"	points	"291601244"	-4.4134405	15.4088844	locality		17 mai	gray	"6"
"POINT (15.3875984 -4.4195164)"	points	"291602984"	-4.4195164	15.3875984	locality		Boma	gray	"6"
"POINT (15.3881134 -4.4121996)"	points	"291602994"	-4.4121996	15.3881134	locality		Maviokele	gray	"6"
"POINT (15.4326166 -4.418789)"	points	"291603511"	-4.418789	15.4326166	locality		Ngamazita	gray	"6"
"POINT (13.2753499 -5.3364)"	points	"309175002"	-5.3364	13.2753499	town		Seke-Banza	red	"10"
"POINT (29.2030412 -0.9081175)"	points	"310057586"	-0.9081175	29.2030412	village		Kibirizi	yellow	"8"
"POINT (25.1677992 -9.0660373)"	points	"310194500"	-9.0660373	25.1677992	town		Kabundji	red	"10"
"POINT (29.5172722 0.6967778)"	points	"310819376"	0.6967778	29.5172722	town		Oicha	red	"10"
"POINT (29.053624 -1.571281)"	points	"310985979"	-1.571281	29.053624	town		Sake	red	"10"
"POINT (29.5618522 3.1272962)"	points	"311820037"	3.1272962	29.5618522	town		Kalimva	red	"10"
"POINT (27.8974119 3.6905911)"	points	"311820661"	3.6905911	27.8974119	town		Niangara	red	"10"
"POINT (15.2498771 -4.446776)"	points	"330335203"	-4.446776	15.2498771	suburb		Matadi Kibala	red	"10"
"POINT (15.2090424 -4.5025015)"	points	"330335211"	-4.5025015	15.2090424	village		Mitendi	yellow	"8"
"POINT (15.1504743 -4.9875298)"	points	"330335214"	-4.9875298	15.1504743	town		Madimba	red	"10"
"POINT (15.1611674 -5.0094953)"	points	"330335215"	-5.0094953	15.1611674	village		Kikulukuta	yellow	"8"
"POINT (15.0592273 -5.1367411)"	points	"330335221"	-5.1367411	15.0592273	town		Kisantu	red	"10"
"POINT (14.9249166 -5.2207286)"	points	"330335222"	-5.2207286	14.9249166	village		Boko	yellow	"8"
"POINT (22.8622672 2.0477277)"	points	"364024698"	2.0477277	22.8622672	village		Moenge	yellow	"8"
"POINT (18.18634 -3.7935943)"	points	"381474051"	-3.7935943	18.18634	village		Ntober	yellow	"8"
"POINT (23.1975899 2.269899)"	points	"382116128"	2.269899	23.1975899	village		Yelebo	yellow	"8"
"POINT (24.1988879 3.4358795)"	points	"382163570"	3.4358795	24.1988879	village		Difongo	yellow	"8"
"POINT (18.6520902 -4.9017787)"	points	"382183876"	-4.9017787	18.6520902	village		Kikamba	yellow	"8"
"POINT (16.1994431 -4.4491551)"	points	"382198330"	-4.4491551	16.1994431	town		Mbankana	red	"10"
"POINT (18.6598608 -3.7668547)"	points	"382788046"	-3.7668547	18.6598608	village		Mibala	yellow	"8"
"POINT (18.5564365 -3.68193)"	points	"383661967"	-3.68193	18.5564365	hamlet		Kimbalambe	gray	"6"
"POINT (28.9288892 -4.2645656)"	points	"383682594"	-4.2645656	28.9288892	village		Kundu 2	yellow	"8"
"POINT (28.2508397 -8.0483231)"	points	"383847105"	-8.0483231	28.2508397	village		Kishale	yellow	"8"
"POINT (21.5156742 2.1473937)"	points	"435259164"	2.1473937	21.5156742	city		Lisala	red	"10"
"POINT (27.3438549 -2.6933615)"	points	"435291603"	-2.6933615	27.3438549	town		Shabunda	red	"10"
"POINT (18.1338714 -0.7367073)"	points	"435301238"	-0.7367073	18.1338714	town		Bikoro	red	"10"
"POINT (18.5945851 4.3436703)"	points	"435315432"	4.3436703	18.5945851	town		Zongo	red	"10"
"POINT (26.9160693 -6.0500915)"	points	"435332321"	-6.0500915	26.9160693	town		Kabalo	red	"10"
"POINT (27.9889953 -8.199233)"	points	"435347222"	-8.199233	27.9889953	village		Kabusondji	yellow	"8"
"POINT (12.9602161 -5.0093031)"	points	"435357707"	-5.0093031	12.9602161	town		Tshela	red	"10"
"POINT (23.6056967 1.2324948)"	points	"435375999"	1.2324948	23.6056967	city		Basoko	red	"10"
"POINT (24.7287054 2.7932581)"	points	"435380660"	2.7932581	24.7287054	city		Buta	red	"10"
"POINT (15.2568672 -4.4415319)"	points	"435395562"	-4.4415319	15.2568672	locality		Cité verte	gray	"6"
"POINT (19.5888434 -4.073071)"	points	"435398165"	-4.073071	19.5888434	town		Mangai	red	"10"
"POINT (22.466526 2.1837441)"	points	"435402271"	2.1837441	22.466526	city		Bumba	red	"10"
"POINT (26.9432417 -6.7550385)"	points	"435442354"	-6.7550385	26.9432417	city		Ankoro	red	"10"
"POINT (24.4733629 0.7658281)"	points	"435443106"	0.7658281	24.4733629	town		Yangambi	red	"10"
"POINT (28.5711433 1.4030422)"	points	"435452190"	1.4030422	28.5711433	village		Epulu	yellow	"8"
"POINT (13.6578923 -5.7663964)"	points	"435453181"	-5.7663964	13.6578923	village		Kenge	yellow	"8"
"POINT (15.409528 -4.4067227)"	points	"435459358"	-4.4067227	15.409528	locality		Kingasani	gray	"6"
"POINT (21.8826431 -0.2422285)"	points	"435479180"	-0.2422285	21.8826431	village		Litoka	yellow	"8"
"POINT (15.2968241 -4.3591279)"	points	"435487454"	-4.3591279	15.2968241	town		Ngiri-Ngiri	red	"10"
"POINT (29.5328413 3.0398758)"	points	"435489521"	3.0398758	29.5328413	town		Watsa	red	"10"
"POINT (24.8366346 2.5024828)"	points	"435494986"	2.5024828	24.8366346	village		Bangabatone	yellow	"8"
"POINT (25.9184499 -2.9493766)"	points	"435514019"	-2.9493766	25.9184499	city		Kindu	red	"10"
"POINT (15.316754 -4.3542053)"	points	"435515963"	-4.3542053	15.316754	town		Kalamu	red	"10"
"POINT (28.1529387 -8.2011986)"	points	"435517349"	-8.2011986	28.1529387	hamlet		Muti	gray	"6"
"POINT (15.4161371 -4.4232817)"	points	"435518753"	-4.4232817	15.4161371	locality		Disasi	gray	"6"
"POINT (29.6421183 0.3491134)"	points	"435553907"	0.3491134	29.6421183	town		Libokora	red	"10"
"POINT (15.3905497 -4.4231864)"	points	"435574643"	-4.4231864	15.3905497	town		Kimbanseke	red	"10"
"POINT (29.4856639 0.6231866)"	points	"435574818"	0.6231866	29.4856639	village		Sikwaila	yellow	"8"
"POINT (22.408589 -5.8951725)"	points	"435579903"	-5.8951725	22.408589	city		Kananga	red	"10"
"POINT (15.3248853 -4.412668)"	points	"435580799"	-4.412668	15.3248853	quarter		Mbanza Lemba	yellow	"8"
"POINT (17.887 -4.77488)"	points	"435602020"	-4.77488	17.887	city		Masi Manimba	red	"10"
"POINT (15.3977771 -4.3856239)"	points	"435603540"	-4.3856239	15.3977771	town		Masina	red	"10"
"POINT (25.747398 -2.537005)"	points	"435611377"	-2.537005	25.747398	town		Lokandu	red	"10"
"POINT (28.8987099 -8.4741061)"	points	"435622276"	-8.4741061	28.8987099	city		Pweto	red	"10"
"POINT (13.2959858 -5.4937481)"	points	"435658275"	-5.4937481	13.2959858	town		Kinzao	red	"10"
"POINT (26.9992427 -5.3856439)"	points	"435668339"	-5.3856439	26.9992427	city		Kongolo	red	"10"
"POINT (15.1616089 -4.9053974)"	points	"435680651"	-4.9053974	15.1616089	town		Sona-Bata	red	"10"
"POINT (16.9232711 -3.0154526)"	points	"435681407"	-3.0154526	16.9232711	town		Mushie	red	"10"
"POINT (15.2922238 -4.3098008)"	points	"435689329"	-4.3098008	15.2922238	town		Gombe	red	"10"
"POINT (15.3519547 -4.3440321)"	points	"435702966"	-4.3440321	15.3519547	suburb		Kingabwa	red	"10"
"POINT (19.4336118 -3.4183714)"	points	"435704200"	-3.4183714	19.4336118	town		Oshwe	red	"10"
"POINT (17.3774958 -3.3201862)"	points	"435708712"	-3.3201862	17.3774958	city		Bandundu	red	"10"
"POINT (15.2830957 -4.3148183)"	points	"435748363"	-4.3148183	15.2830957	suburb		Royal	red	"10"
"POINT (29.2919205 -0.2382728)"	points	"435754727"	-0.2382728	29.2919205	town		Kipese	red	"10"
"POINT (25.4669918 -10.7169952)"	points	"435755862"	-10.7169952	25.4669918	city		Kolwezi	red	"10"
"POINT (15.1819467 -4.8277255)"	points	"435756790"	-4.8277255	15.1819467	town		Lwila	red	"10"
"POINT (15.3931343 -4.4204149)"	points	"435776454"	-4.4204149	15.3931343	locality		Kisantu	gray	"6"
"POINT (19.7405069 5.1070069)"	points	"435776983"	5.1070069	19.7405069	village		Boduna	yellow	"8"
"POINT (26.7397418 -10.9891601)"	points	"435789385"	-10.9891601	26.7397418	city		Likasi	red	"10"
"POINT (15.2582156 -4.3340385)"	points	"435789914"	-4.3340385	15.2582156	locality		Kintambo Magasins	gray	"6"
"POINT (16.2044968 -3.1820727)"	points	"435790531"	-3.1820727	16.2044968	town		Kwamouth	red	"10"
"POINT (20.8826368 -0.2836634)"	points	"435804657"	-0.2836634	20.8826368	city		Boende	red	"10"
"POINT (25.9282179 -3.9224686)"	points	"435813842"	-3.9224686	25.9282179	town		Kibombo	red	"10"
"POINT (29.4653222 0.4939335)"	points	"435818462"	0.4939335	29.4653222	city		Beni	red	"10"
"POINT (15.4200852 -4.4143389)"	points	"435827473"	-4.4143389	15.4200852	locality		Ngampani	gray	"6"
"POINT (29.4304991 -1.148074)"	points	"435846536"	-1.148074	29.4304991	town		Butusande	red	"10"
"POINT (15.2526587 -4.3589669)"	points	"435852814"	-4.3589669	15.2526587	suburb		Ma Campagne	red	"10"
"POINT (19.8013697 1.2191683)"	points	"435856567"	1.2191683	19.8013697	city		Basankusu	red	"10"
"POINT (19.8624716 -4.1567969)"	points	"435876905"	-4.1567969	19.8624716	town		Dibaya-Lubwe	red	"10"
"POINT (15.2472515 -4.4428758)"	points	"435881008"	-4.4428758	15.2472515	locality		Cité Mama Mobutu	gray	"6"
"POINT (29.1375509 -3.4055866)"	points	"435884993"	-3.4055866	29.1375509	city		Uvira	red	"10"
"POINT (16.556062 -1.90318)"	points	"435886547"	-1.90318	16.556062	town		Yumbi	red	"10"
"POINT (25.4525854 -8.8903751)"	points	"435888891"	-8.8903751	25.4525854	town		Kibula	red	"10"
"POINT (28.2813662 -7.9373772)"	points	"435894139"	-7.9373772	28.2813662	village		Katunde	yellow	"8"
"POINT (21.074106 1.5048009)"	points	"435894458"	1.5048009	21.074106	town		Bongandanga	red	"10"
"POINT (26.7424346 -10.8133599)"	points	"435897813"	-10.8133599	26.7424346	town		Lwambo	red	"10"
"POINT (15.2446765 -4.3299111)"	points	"435900948"	-4.3299111	15.2446765	suburb		Mont Ngaliema	red	"10"
"POINT (25.3444956 1.7030502)"	points	"435902788"	1.7030502	25.3444956	village		Yandumba	yellow	"8"
"POINT (15.3051138 -4.3775574)"	points	"435905459"	-4.3775574	15.3051138	town		Makala	red	"10"
"POINT (27.9804616 -8.263875)"	points	"435917494"	-8.263875	27.9804616	village		Kakoji	yellow	"8"
"POINT (25.6683638 -8.9097088)"	points	"435936831"	-8.9097088	25.6683638	town		Kabondo-Dianda	red	"10"
"POINT (17.9521424 -3.7263996)"	points	"435959046"	-3.7263996	17.9521424	town		Bagata	red	"10"
"POINT (15.3349502 -4.3550187)"	points	"435971627"	-4.3550187	15.3349502	town		Limete	red	"10"
"POINT (21.7902902 -0.2022328)"	points	"435972926"	-0.2022328	21.7902902	village		Eyangola	yellow	"8"
"POINT (16.5463161 -3.053642)"	points	"435980447"	-3.053642	16.5463161	town		Lediba	red	"10"
"POINT (24.2690944 0.7795426)"	points	"435989874"	0.7795426	24.2690944	town		Isangi	red	"10"
"POINT (17.685412 -2.720373)"	points	"435994822"	-2.720373	17.685412	town		Nioki	red	"10"
"POINT (25.0032201 -8.7351826)"	points	"436003765"	-8.7351826	25.0032201	city		Kamina	red	"10"
"POINT (28.8594885 -2.5055839)"	points	"436044301"	-2.5055839	28.8594885	city		Bukavu	red	"10"
"POINT (28.0972934 -8.2677181)"	points	"436045251"	-8.2677181	28.0972934	village		Nkonkole	yellow	"8"
"POINT (15.4298699 -4.4104881)"	points	"436057571"	-4.4104881	15.4298699	locality		Mikondo	gray	"6"
"POINT (29.170316 -0.70048)"	points	"436062748"	-0.70048	29.170316	town		Kanyabayonga	red	"10"
"POINT (22.8313069 -4.0981776)"	points	"436073651"	-4.0981776	22.8313069	town		Bena-Dibele	red	"10"
"POINT (25.1342985 0.9560471)"	points	"436075847"	0.9560471	25.1342985	village			yellow	"8"
"POINT (15.3296789 -4.3191289)"	points	"440014358"	-4.3191289	15.3296789	locality		Bon-Marché	gray	"6"
"POINT (15.3348344 -4.3800049)"	points	"440176871"	-4.3800049	15.3348344	suburb		Lemba	red	"10"
"POINT (23.7791277 2.7358578)"	points	"443256839"	2.7358578	23.7791277	town		Aketi	red	"10"
"POINT (29.0607175 -1.2504197)"	points	"462145515"	-1.2504197	29.0607175	town		Kitchanga	red	"10"
"POINT (28.5699237 3.6195433)"	points	"478519180"	3.6195433	28.5699237	town		Dungu	red	"10"
"POINT (27.6208169 2.7742702)"	points	"478528026"	2.7742702	27.6208169	city		Isiro	red	"10"
"POINT (17.7288611 -2.7)"	points	"571357018"	-2.7	17.7288611	village		Mokolombu	yellow	"8"
"POINT (15.5162902 -4.3224787)"	points	"581322305"	-4.3224787	15.5162902	suburb		Mikala	red	"10"
"POINT (28.8662198 -2.499159)"	points	"588615436"	-2.499159	28.8662198	locality		Nyofu	gray	"6"
